year,make,model,body_styles
2020,Chevrolet,Colorado Crew Cab,"Pickup"
2020,Chevrolet,Colorado Extended Cab,"Pickup"
2020,Chevrolet,Corvette,"Coupe, Convertible"
2020,Chevrolet,Equinox,"SUV"
2020,Chevrolet,Express Cargo Van,"Van"
2020,Chevrolet,Impala,"Sedan"
2020,Chevrolet,Malibu,"Sedan"
2020,Chevrolet,Silverado 1500 Crew Cab,"Pickup"
2020,Chevrolet,Silverado 1500 Double Cab,"Pickup"
2020,Chevrolet,Silverado 1500 Regular Cab,"Pickup"
2020,Chevrolet,Spark,"Hatchback"
2020,Chevrolet,Suburban,"SUV"
2020,Chevrolet,Tahoe,"SUV"
2020,Chevrolet,Trailblazer,"SUV"
2020,Chevrolet,Traverse,"SUV"
2020,Chevrolet,Trax,"SUV"
2020,Chrysler,300,"Sedan"
2020,Chrysler,Pacifica,"Minivan"
2020,Chrysler,Voyager,"Minivan"
2020,Dodge,Challenger,"Coupe"
2020,Dodge,Charger,"Sedan"
2020,Dodge,Durango,"SUV"
2020,Dodge,Grand Caravan,"Minivan"
2020,Dodge,Journey,"SUV"
2020,Fiat,124 Spider,"Convertible"
2020,Fiat,500,"Hatchback"
2020,Fiat,500L,"Hatchback"
2020,Fiat,500X,"SUV"
2020,Ford,Edge,"SUV"
2020,Ford,Escape,"SUV"
2020,Ford,Expedition,"SUV"
2020,Ford,Expedition Max,"SUV"
2020,Ford,Explorer,"SUV"
2020,Ford,F-150,"Pickup"
2020,Ford,F-250 Super Duty Crew Cab,"Pickup"
2020,Ford,F-250 Super Duty Regular Cab,"Pickup"
2020,Ford,F-350 Super Duty Crew Cab,"Pickup"
2020,Ford,F-350 Super Duty Regular Cab,"Pickup"
2020,Ford,F-450 Super Duty Crew Cab,"Pickup"
2020,Ford,F-450 Super Duty Regular Cab,"Pickup"
2020,Ford,Fiesta,"Hatchback, Sedan"
2020,Ford,Flex,"SUV"
2020,Ford,Focus,"Hatchback, Sedan"
2020,Ford,Fusion,"Sedan"
2020,Ford,Fusion Energi,"Sedan"
2020,Ford,Fusion Hybrid,"Sedan"
2020,Ford,Mustang,"Coupe, Convertible"
2020,Ford,Mustang Shelby GT350,"Coupe"
2020,Ford,Mustang Shelby GT500,"Coupe"
2020,Ford,Ranger,"Pickup"
2020,Ford,Transit Connect Cargo,"Van"
2020,Ford,Transit Connect Wagon,"Van"
2020,Genesis,G70,"Sedan"
2020,Genesis,G80,"Sedan"
2020,Genesis,G90,"Sedan"
2020,GMC,Acadia,"SUV"
2020,GMC,Canyon Crew Cab,"Pickup"
2020,GMC,Canyon Extended Cab,"Pickup"
2020,GMC,Savana Cargo Van,"Van"
2020,GMC,Sierra 1500 Crew Cab,"Pickup"
2020,GMC,Sierra 1500 Double Cab,"Pickup"
2020,GMC,Sierra 1500 Regular Cab,"Pickup"
2020,GMC,Terrain,"SUV"
2020,GMC,Yukon,"SUV"
2020,GMC,Yukon XL,"SUV"
2020,Honda,Accord,"Sedan"
2020,Honda,Civic,"Coupe, Hatchback, Sedan"
2020,Honda,Clarity Fuel Cell,"Sedan"
2020,Honda,Clarity Plug-In Hybrid,"Sedan"
2020,Honda,CR-V,"SUV"
2020,Honda,Fit,"Hatchback"
2020,Honda,HR-V,"SUV"
2020,Honda,Insight,"Sedan"
2020,Honda,Odyssey,"Minivan"
2020,Honda,Passport,"SUV"
2020,Honda,Pilot,"SUV"
2020,Honda,Ridgeline,"Pickup"
2020,Hyundai,Accent,"Sedan"
2020,Hyundai,Elantra,"Sedan"
2020,Hyundai,Elantra GT,"Hatchback"
2020,Hyundai,Ioniq Electric,"Hatchback"
2020,Hyundai,Ioniq Hybrid,"Hatchback"
2020,Hyundai,Ioniq Plug-In Hybrid,"Hatchback"
2020,Hyundai,Kona,"SUV"
2020,Hyundai,Kona Electric,"SUV"
2020,Hyundai,Palisade,"SUV"
2020,Hyundai,Santa Fe,"SUV"
2020,Hyundai,Sonata,"Sedan"
2020,Hyundai,Sonata Hybrid,"Sedan"
2020,Hyundai,Sonata Plug-In Hybrid,"Sedan"
2020,Hyundai,Tucson,"SUV"
2020,Hyundai,Veloster,"Coupe, Hatchback"
2020,Hyundai,Venue,"SUV"
2020,Infiniti,Q50,"Sedan"
2020,Infiniti,Q60,"Coupe, Convertible"
2020,Infiniti,Q70,"Sedan"
2020,Infiniti,QX30,"SUV"
2020,Infiniti,QX50,"SUV"
2020,Infiniti,QX60,"SUV"
2020,Infiniti,QX80,"SUV"
2020,Jaguar,E-PACE,"SUV"
2020,Jaguar,F-PACE,"SUV"
2020,Jaguar,F-TYPE,"Coupe, Convertible"
2020,Jaguar,I-PACE,"SUV"
2020,Jaguar,XE,"Sedan"
2020,Jaguar,XF,"Sedan"
2020,Jaguar,XJ,"Sedan"
2020,Jeep,Cherokee,"SUV"
2020,Jeep,Compass,"SUV"
2020,Jeep,Gladiator,"Pickup"
2020,Jeep,Grand Cherokee,"SUV"
2020,Jeep,Renegade,"SUV"
2020,Jeep,Wrangler,"SUV"
2020,Kia,Forte,"Sedan"
2020,Kia,K900,"Sedan"
2020,Kia,Niro,"SUV"
2020,Kia,Niro EV,"SUV"
2020,Kia,Niro Plug-In Hybrid,"SUV"
2020,Kia,Optima,"Sedan"
2020,Kia,Rio,"Sedan"
2020,Kia,Sedona,"Minivan"
2020,Kia,Sorento,"SUV"
2020,Kia,Soul,"Hatchback"
2020,Kia,Soul EV,"Hatchback"
2020,Kia,Sportage,"SUV"
2020,Kia,Stinger,"Sedan"
2020,Land Rover,Discovery,"SUV"
2020,Land Rover,Discovery Sport,"SUV"
2020,Land Rover,Range Rover,"SUV"
2020,Land Rover,Range Rover Evoque,"SUV"
2020,Land Rover,Range Rover Sport,"SUV"
2020,Land Rover,Range Rover Velar,"SUV"
2020,Lexus,ES,"Sedan"
2020,Lexus,GS,"Sedan"
2020,Lexus,GX,"SUV"
2020,Lexus,IS,"Sedan"
2020,Lexus,LC,"Coupe, Convertible"
2020,Lexus,LS,"Sedan"
2020,Lexus,LX,"SUV"
2020,Lexus,NX,"SUV"
2020,Lexus,RC,"Coupe"
2020,Lexus,RX,"SUV"
2020,Lexus,UX,"SUV"
2020,Lincoln,Aviator,"SUV"
2020,Lincoln,Continental,"Sedan"
2020,Lincoln,Corvette,"SUV"
2020,Lincoln,Nautilus,"SUV"
2020,Lincoln,Navigator,"SUV"
2020,Mazda,CX-3,"SUV"
2020,Mazda,CX-30,"SUV"
2020,Mazda,CX-5,"SUV"
2020,Mazda,CX-9,"SUV"
2020,Mazda,Mazda3,"Hatchback, Sedan"
2020,Mazda,Mazda6,"Sedan"
2020,Mercedes-Benz,A-Class,"Sedan"
2020,Mercedes-Benz,AMG GT,"Coupe, Convertible"
2020,Mercedes-Benz,C-Class,"Coupe, Convertible, Sedan, Wagon"
2020,Mercedes-Benz,CLA-Class,"Coupe"
2020,Mercedes-Benz,CLS-Class,"Coupe, Sedan"
2020,Mercedes-Benz,E-Class,"Coupe, Convertible, Sedan, Wagon"
2020,Mercedes-Benz,G-Class,"SUV"
2020,Mercedes-Benz,GLA-Class,"SUV"
2020,Mercedes-Benz,GLB-Class,"SUV"
2020,Mercedes-Benz,GLC-Class,"Coupe, SUV"
2020,Mercedes-Benz,GLE-Class,"Coupe, SUV"
2020,Mercedes-Benz,GLS-Class,"SUV"
2020,Mercedes-Benz,Maybach S-Class,"Sedan"
2020,Mercedes-Benz,S-Class,"Coupe, Convertible, Sedan"
2020,Mercedes-Benz,SL-Class,"Convertible"
2020,Mercedes-Benz,SLC-Class,"Convertible"
2020,Mercedes-Benz,SL-Class,"Convertible"
2020,MINI,Clubman,"Hatchback"
2020,MINI,Convertible,"Convertible"
2020,MINI,Countryman,"SUV"
2020,MINI,Hardtop 2 Door,"Hatchback"
2020,MINI,Hardtop 4 Door,"Hatchback"
2020,Mitsubishi,Eclipse Cross,"SUV"
2020,Mitsubishi,Mirage,"Hatchback"
2020,Mitsubishi,Mirage G4,"Sedan"
2020,Mitsubishi,Outlander,"SUV"
2020,Mitsubishi,Outlander PHEV,"SUV"
2020,Mitsubishi,Outlander Sport,"SUV"
2020,Nissan,370Z,"Coupe, Convertible"
2020,Nissan,Altima,"Sedan"
2020,Nissan,Armada,"SUV"
2020,Nissan,Frontier Crew Cab,"Pickup"
2020,Nissan,Frontier King Cab,"Pickup"
2020,Nissan,GT-R,"Coupe"
2020,Nissan,Kicks,"SUV"
2020,Nissan,Leaf,"Hatchback"
2020,Nissan,Maxima,"Sedan"
2020,Nissan,Murano,"SUV"
2020,Nissan,Pathfinder,"SUV"
2020,Nissan,Rogue,"SUV"
2020,Nissan,Rogue Sport,"SUV"
2020,Nissan,Sentra,"Sedan"
2020,Nissan,Titan Crew Cab,"Pickup"
2020,Nissan,Titan King Cab,"Pickup"
2020,Nissan,Titan Single Cab,"Pickup"
2020,Nissan,Versa,"Sedan"
2020,Porsche,718 Boxster,"Convertible"
2020,Porsche,718 Cayman,"Coupe"
2020,Porsche,911,"Coupe, Convertible"
2020,Porsche,Cayenne,"SUV"
2020,Porsche,Cayenne Coupe,"SUV"
2020,Porsche,Macan,"SUV"
2020,Porsche,Panamera,"Sedan"
2020,Ram,1500 Crew Cab,"Pickup"
2020,Ram,1500 Quad Cab,"Pickup"
2020,Ram,1500 Regular Cab,"Pickup"
2020,Ram,2500 Crew Cab,"Pickup"
2020,Ram,2500 Mega Cab,"Pickup"
2020,Ram,2500 Regular Cab,"Pickup"
2020,Ram,3500 Crew Cab,"Pickup"
2020,Ram,3500 Mega Cab,"Pickup"
2020,Ram,3500 Regular Cab,"Pickup"
2020,Ram,ProMaster Cargo Van,"Van"
2020,Ram,ProMaster City,"Van"
2020,Subaru,Ascent,"SUV"
2020,Subaru,BRZ,"Coupe"
2020,Subaru,Crosstrek,"SUV"
2020,Subaru,Forester,"SUV"
2020,Subaru,Impreza,"Hatchback, Sedan"
2020,Subaru,Legacy,"Sedan"
2020,Subaru,Outback,"Wagon"
2020,Subaru,WRX,"Sedan"
2020,Subaru,WRX STI,"Sedan"
2020,Toyota,4Runner,"SUV"
2020,Toyota,86,"Coupe"
2020,Toyota,Avalon,"Sedan"
2020,Toyota,Avalon Hybrid,"Sedan"
2020,Toyota,Camry,"Sedan"
2020,Toyota,Camry Hybrid,"Sedan"
2020,Toyota,CH-R,"SUV"
2020,Toyota,Corolla,"Sedan"
2020,Toyota,Corolla Hatchback,"Hatchback"
2020,Toyota,Corolla Hybrid,"Sedan"
2020,Toyota,Highlander,"SUV"
2020,Toyota,Highlander Hybrid,"SUV"
2020,Toyota,Land Cruiser,"SUV"
2020,Toyota,Mirai,"Sedan"
2020,Toyota,RAV4,"SUV"
2020,Toyota,RAV4 Hybrid,"SUV"
2020,Toyota,Sequoia,"SUV"
2020,Toyota,Sienna,"Minivan"
2020,Toyota,Supra,"Coupe"
2020,Toyota,Tacoma Access Cab,"Pickup"
2020,Toyota,Tacoma Double Cab,"Pickup"
2020,Toyota,Tundra CrewMax,"Pickup"
2020,Toyota,Tundra Double Cab,"Pickup"
2020,Toyota,Yaris Hatchback,"Hatchback"
2020,Toyota,Yaris Sedan,"Sedan"
2020,Volkswagen,Arteon,"Sedan"
2020,Volkswagen,Atlas,"SUV"
2020,Volkswagen,Beetle,"Convertible, Hatchback"
2020,Volkswagen,Golf,"Hatchback"
2020,Volkswagen,Golf Alltrack,"Wagon"
2020,Volkswagen,Golf GTI,"Hatchback"
2020,Volkswagen,Golf R,"Hatchback"
2020,Volkswagen,Jetta,"Sedan"
2020,Volkswagen,Passat,"Sedan"
2020,Volkswagen,Tiguan,"SUV"
2020,Volvo,S60,"Sedan"
2020,Volvo,S90,"Sedan"
2020,Volvo,V60,"Wagon"
2020,Volvo,V90,"Wagon"
2020,Volvo,XC40,"SUV"
2020,Volvo,XC60,"SUV"
2020,Volvo,XC90,"SUV"
